Epret,Eplen,LossPi,TestEpRet,TestEpLen,Epoch,Total_Steps
1.0,64,0.031114205718040466,0.0,39,1,3999
0.0,30,0.0013226938899606466,2.0,131,2,7999
0.0,30,0.02431485243141651,0.0,31,3,11999
0.0,27,0.021608320996165276,0.0,31,4,15999
0.0,33,0.002981738420203328,0.0,29,5,19999
0.0,31,0.006294797640293837,0.0,32,6,23999
1.0,99,0.014699891209602356,0.0,29,7,27999
0.0,34,0.0780218243598938,2.0,162,8,31999
0.0,33,0.013550007715821266,0.0,33,9,35999
0.0,31,0.03799913451075554,2.0,131,10,39999
1.0,68,0.015115639194846153,0.0,33,11,43999
0.0,28,1.7803858518600464,0.0,31,12,47999
1.0,96,0.02526717260479927,0.0,31,13,51999
0.0,28,0.0579742006957531,0.0,26,14,55999
0.0,30,0.23902244865894318,1.0,90,15,59999
0.0,27,3.4311952590942383,0.0,33,16,63999
0.0,32,8.505804061889648,0.0,28,17,67999
0.0,30,0.769798994064331,1.0,92,18,71999
