Epret,Eplen,LossPi,Epsilon,TestEpRet,TestEpLen,Epoch,Total_Steps
-95.64603687624059,156,21.627056121826172,0.25,-122.2840464549391,1000,1,3999
-33.7819948667093,223,7.3944268226623535,0.16666666666666666,-16.49135993691354,292,2,7999
-120.25995706518866,709,4.686459541320801,0.125,-165.45794220171615,468,3,11999
-18.13472028317916,1000,2.5069375038146973,0.1,-20.318863258426198,1000,4,15999
-76.1171288063004,1000,94.1461410522461,0.08333333333333333,-79.83960996741881,1000,5,19999
-25.452355898953343,1000,2.7742812633514404,0.07142857142857142,-47.25282590347494,1000,6,23999
-51.70999739905126,1000,1.660172939300537,0.0625,-21.51723252113823,1000,7,27999
-156.58661198341716,226,1.607306718826294,0.05555555555555555,-37.128577006231865,1000,8,31999
222.25700041231894,472,3.465019702911377,0.05,175.707654468921,675,9,35999
-40.37917485563378,1000,4.385354042053223,0.045454545454545456,81.93957149806812,1000,10,39999
-180.31892699840324,727,4.060293674468994,0.041666666666666664,-154.16841761194559,506,11,43999
-204.97361351828675,866,2.4108357429504395,0.038461538461538464,226.19954670290386,394,12,47999
255.14940076557255,470,3.931502342224121,0.03571428571428571,173.02902869221248,865,13,51999
253.167155059769,176,2.7356436252593994,0.03333333333333333,248.62168278807528,479,14,55999
269.19157650255295,340,5.3296637535095215,0.03125,155.49757633193812,539,15,59999
265.97266110218715,320,25.737661361694336,0.029411764705882353,55.80565630668646,1000,16,63999
248.40400030516852,240,2.946615695953369,0.027777777777777776,264.1802324639749,197,17,67999
276.7499130559903,415,12.837115287780762,0.02631578947368421,155.11388090442847,436,18,71999
