Epret,Eplen,LossPi,Epsilon,TestEpRet,TestEpLen,Epoch,Total_Steps
-257.98752351854563,98,6.474635124206543,0.25,-144.7184430474517,117,1,3999
-96.41835379956899,119,9.188408851623535,0.16666666666666666,-62.22794086817583,1000,2,7999
-175.0311558274667,739,2.2714200019836426,0.125,-146.45848994536283,421,3,11999
-135.4795039239471,1000,2.817887783050537,0.1,-14.706422101345119,1000,4,15999
-227.13898172365612,314,4.642389297485352,0.08333333333333333,-101.85036338783317,1000,5,19999
-82.64668116468201,1000,17.140636444091797,0.07142857142857142,-14.854695933272044,1000,6,23999
212.58346546201614,654,13.719942092895508,0.0625,-114.77744685002547,1000,7,27999
-564.864120382977,680,48.58507537841797,0.05555555555555555,96.53477065542052,896,8,31999
163.42914773887495,992,1.8732303380966187,0.05,-98.35631287917134,1000,9,35999
248.6698895057299,412,17.321819305419922,0.045454545454545456,-80.99496195617648,1000,10,39999
239.10705894701394,406,5.364536285400391,0.041666666666666664,232.06257519202003,414,11,43999
116.45815649172938,845,3.243710994720459,0.038461538461538464,152.11071538861853,677,12,47999
-102.11150062897326,1000,4.004386901855469,0.03571428571428571,238.19646329638263,250,13,51999
183.0513704819216,487,16.03365707397461,0.03333333333333333,230.55806577341042,457,14,55999
183.6046159879852,441,3.694695472717285,0.03125,279.7125805179227,343,15,59999
