Epret,Eplen,LossPi,Epsilon,TestEpRet,TestEpLen,Epoch,Total_Steps
0.0,31,0.016401272267103195,0.5,0.0,32,1,3999
1.0,71,0.03121926076710224,0.5,0.0,31,2,7999
0.0,27,0.0222712904214859,0.5,1.0,67,3,11999
0.0,34,0.012124819681048393,0.5,0.0,31,4,15999
0.0,31,0.03117086924612522,0.5,0.0,32,5,19999
0.0,29,0.029991770163178444,0.5,0.0,33,6,23999
0.0,33,0.034959688782691956,0.5,0.0,32,7,27999
0.0,33,0.07288587838411331,0.5,0.0,32,8,31999
1.0,70,0.020767441019415855,0.5,0.0,27,9,35999
0.0,33,0.06552137434482574,0.5,0.0,33,10,39999
0.0,29,0.03733207285404205,0.5,1.0,70,11,43999
0.0,28,0.026367511600255966,0.5,0.0,32,12,47999
0.0,31,0.03469618037343025,0.5,0.0,30,13,51999
0.0,32,0.03291475400328636,0.5,0.0,31,14,55999
0.0,29,0.04842653498053551,0.5,1.0,89,15,59999
0.0,33,0.014086520299315453,0.5,0.0,29,16,63999
0.0,30,0.013320857658982277,0.5,0.0,33,17,67999
0.0,32,0.00530302943661809,0.5,0.0,32,18,71999
1.0,71,0.013097170740365982,0.5,0.0,29,19,75999
0.0,33,0.013042420148849487,0.5,0.0,30,20,79999
1.0,102,0.010973543860018253,0.5,0.0,30,21,83999
1.0,97,0.008312108926475048,0.5,0.0,30,22,87999
1.0,72,0.008699603378772736,0.5,0.0,31,23,91999
0.0,31,0.005510668735951185,0.5,0.0,34,24,95999
0.0,31,0.010391002520918846,0.5,0.0,30,25,99999
0.0,29,0.00486353412270546,0.5,1.0,93,26,103999
0.0,29,0.017090361565351486,0.5,0.0,33,27,107999
0.0,31,0.008107982575893402,0.5,4.0,223,28,111999
0.0,29,0.005889992229640484,0.5,4.0,215,29,115999
0.0,31,0.012062449008226395,0.5,1.0,72,30,119999
0.0,33,0.002631904324516654,0.25,0.0,31,31,123999
0.0,30,0.02078489400446415,0.16666666666666666,0.0,28,32,127999
1.0,94,0.01031428761780262,0.125,0.0,26,33,131999
0.0,31,0.010109182447195053,0.1,0.0,32,34,135999
0.0,30,0.010067621245980263,0.08333333333333333,2.0,127,35,139999
0.0,30,0.00682411901652813,0.07142857142857142,0.0,31,36,143999
4.0,221,0.005395007319748402,0.0625,1.0,64,37,147999
0.0,32,0.009555146098136902,0.05555555555555555,0.0,27,38,151999
2.0,128,0.016285009682178497,0.05,4.0,224,39,155999
0.0,34,0.002296882215887308,0.045454545454545456,1.0,68,40,159999
0.0,31,0.014224996790289879,0.041666666666666664,0.0,33,41,163999
1.0,71,0.010236525908112526,0.038461538461538464,2.0,129,42,167999
0.0,31,0.007871698588132858,0.03571428571428571,0.0,35,43,171999
2.0,114,0.0375920832157135,0.03333333333333333,1.0,70,44,175999
0.0,31,0.004626798443496227,0.03125,0.0,32,45,179999
0.0,32,0.006087012588977814,0.029411764705882353,0.0,32,46,183999
0.0,32,0.0038053644821047783,0.027777777777777776,0.0,32,47,187999
0.0,33,0.006115098483860493,0.02631578947368421,1.0,70,48,191999
1.0,90,0.01952240616083145,0.025,0.0,30,49,195999
0.0,35,0.003920519258826971,0.023809523809523808,0.0,32,50,199999
4.0,225,0.0021076356060802937,0.022727272727272728,0.0,30,51,203999
0.0,31,0.004552491940557957,0.021739130434782608,1.0,71,52,207999
1.0,65,0.006456797942519188,0.020833333333333332,0.0,33,53,211999
0.0,33,0.005811107344925404,0.02,4.0,244,54,215999
0.0,31,0.008239244110882282,0.019230769230769232,0.0,30,55,219999
3.0,201,0.0048423949629068375,0.018518518518518517,0.0,33,56,223999
0.0,35,0.001528132357634604,0.017857142857142856,1.0,94,57,227999
0.0,31,0.007966296747326851,0.017241379310344827,1.0,93,58,231999
0.0,33,0.0035603749565780163,0.016666666666666666,2.0,131,59,235999
1.0,66,0.014274481683969498,0.016129032258064516,1.0,69,60,239999
0.0,31,0.010023510083556175,0.015625,1.0,74,61,243999
