Epret,Eplen,LossQ,Q1Vals,Q2Vals,LossPi,LogPi,Alpha,TestEpRet,TestEpLen,Epoch,Total_Steps
14.0,14,0.011908918619155884,1.3678628,1.3885062,-1.507194995880127,-0.6938806,0.19190573143244877,9.0,9,1,3999
35.0,35,0.04353763163089752,1.6936375,1.6884204,-1.8230843544006348,-0.70048416,0.1863003390213176,9.0,9,2,7999
9.0,9,0.07874168455600739,2.0161235,2.0159152,-2.153839349746704,-0.69326293,0.17962500885413288,8.0,8,3,11999
15.0,15,0.09442632645368576,2.3762412,2.3829975,-2.5221810340881348,-0.6933483,0.17307723824687932,9.0,9,4,15999
14.0,14,0.09635592997074127,2.7156374,2.7316446,-2.8639779090881348,-0.6931937,0.16591546061266463,10.0,10,5,19999
29.0,29,0.16405543684959412,3.0636356,3.0252857,-3.0640435218811035,-0.6934157,0.15872224921546757,200.0,200,6,23999
32.0,32,0.14088591933250427,3.450958,3.442861,-3.5473289489746094,-0.7205563,0.1427241700526466,200.0,200,7,27999
43.0,43,0.2521396279335022,3.809083,3.8073437,-3.8693130016326904,-0.78187406,0.11725446263535189,200.0,200,8,31999
81.0,81,0.09954337030649185,4.178065,4.1952496,-4.2539191246032715,-0.8590532,0.09815242526569938,200.0,200,9,35999
122.0,122,0.19170527160167694,4.5820785,4.5610433,-4.564023494720459,-0.9098276,0.08125315927440827,200.0,200,10,39999
64.0,64,0.16192032396793365,4.901105,4.9029818,-4.876330852508545,-0.86618197,0.07060064303835484,200.0,200,11,43999
184.0,184,0.3915441632270813,5.319035,5.3559985,-5.325621128082275,-0.93622,0.06183115047268322,157.0,157,12,47999
200.0,200,0.005811234936118126,5.6902328,5.700281,-5.692670822143555,-0.9901302,0.05431329625990189,200.0,200,13,51999
200.0,200,0.007585389539599419,5.9868183,5.9980583,-6.008841514587402,-0.9624472,0.048875472916565556,179.0,179,14,55999
